dmscode,doctype,logtimestamp,version,presentweights,sumofweight,totalweight,response_type_id,response_type,result
83fbfb6ff2714136bf5830d141a3fd5a,INV,18/12/2023 15:46:42,0,"[7, 8, 9, 12, 14]",50,190,RES0001,REVIEW,Consistent
83fbfb6ff2714136bf5830d141a3fd5a,INV,18/12/2023 16:32:23,0,"[7, 8, 9, 12, 14]",50,190,RES0001,REVIEW,Consistent
83fbfb6ff2714136bf5830d141a3fd5a,INV,18/12/2023 16:47:46,0,"[7, 8, 9, 12, 14]",50,190,RES0001,REVIEW,Consistent
83fbfb6ff2714136bf5830d141a3fd5a,INV,18/12/2023 16:48:19,0,"[7, 8, 9, 12, 14]",50,190,RES0001,REVIEW,Consistent
83fbfb6ff2714136bf5830d141a3fd5a,INV,18/12/2023 17:53:56,0,"[7, 8, 9, 12, 14]",50,190,RES0001,REVIEW,Consistent
904017f1c53e4d4f8f5793c222cc2fb8,PO,18/12/2023 15:03:01,0,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",243,325,RES0001,REVIEW,Consistent
904017f1c53e4d4f8f5793c222cc2fb8,PO,18/12/2023 15:03:01,0,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",243,325,RES0001,REVIEW,Consistent
904017f1c53e4d4f8f5793c222cc2fb8,PO,18/12/2023 15:03:01,1,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",263,325,RES0001,REVIEW,Consistent
904017f1c53e4d4f8f5793c222cc2fb8,PO,18/12/2023 15:03:01,1,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",245,325,RES0001,REVIEW,Inconsistent
904017f1c53e4d4f8f5793c222cc2fb8,PO,18/12/2023 15:03:40,1,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]",174,325,RES0001,REVIEW,Inconsistent
7444aafc48aa42f8a826171f59866196,INV,18/12/2023 16:48:34,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
7444aafc48aa42f8a826171f59866196,INV,18/12/2023 17:46:41,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
7444aafc48aa42f8a826171f59866196,INV,18/12/2023 17:53:54,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
32b1af97acf04b8b942e874d9f3e4006,INV,18/12/2023 16:04:43,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
32b1af97acf04b8b942e874d9f3e4006,INV,18/12/2023 16:48:22,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
32b1af97acf04b8b942e874d9f3e4006,INV,18/12/2023 17:53:55,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18]",117,190,RES0001,REVIEW,Consistent
